,车系,服务网络,索引,TOP车系,类型,产品类型
0,e2,海洋网,0,e2,非智驾,纯电
1,e2荣耀版,海洋网,1,e2,非智驾,纯电
2,海豹06EV,海洋网,2,海豹06EV,智驾,纯电
3,海豹,海洋网,3,海豹,非智驾,纯电
4,海豹冠军版,海洋网,4,海豹,非智驾,纯电
5,海豹荣耀版,海洋网,5,海豹,非智驾,纯电
6,2022款海豹,海洋网,6,海豹,非智驾,纯电
7,海豹智驾版,海洋网,7,海豹 智驾,智驾,纯电
8,2025款海豹,海洋网,8,海豹,非智驾,纯电
9,海豹05DM-i智驾版,海洋网,9,海豹05 DM 智驾,智驾,混动
10,海豹06DM-i旅行版,海洋网,10,海豹05 DM 智驾,智驾,混动
11,海豹06DM-i,海洋网,11,海豹06 DM,非智驾,混动
12,海豹06DM-i智驾版,海洋网,12,海豹06 DM 智驾,智驾,混动
13,海豹06DM-i超享版,海洋网,13,海豹06 DM 智驾,智驾,混动
14,2026款海豹07DM-i,海洋网,14,海豹07 DM,智驾,混动
15,海豹07DM-i,海洋网,15,海豹07 DM,非智驾,混动
16,海豹07DM-i智驾版,海洋网,16,海豹07 DM 智驾,智驾,混动
17,海豹DM-i,海洋网,17,海豹DM,非智驾,混动
18,海豹DM-i荣耀版,海洋网,18,海豹DM,非智驾,混动
19,海豹06-GT,海洋网,19,海豹06GT,非智驾,纯电
20,海豹06GT,海洋网,20,海豹06GT,非智驾,纯电
21,海豹06GT智驾版,海洋网,21,海豹06GT 智驾,智驾,纯电
22,海豹GT,海洋网,22,海豹GT,非智驾,纯电
23,2026款海豹05DM-i,海洋网,23,海豹DM,智驾,混动
24,海鸥,海洋网,24,海鸥,非智驾,纯电
25,海鸥荣耀版,海洋网,25,海鸥,非智驾,纯电
26,2025款海鸥,海洋网,26,海鸥,非智驾,纯电
27,2025款 海鸥,海洋网,27,海鸥 智驾,智驾,纯电
28,海鸥智驾版,海洋网,28,海鸥 智驾,智驾,纯电
29,海狮06EV,海洋网,29,海狮06EV,智驾,纯电
30,海狮05EV,海洋网,30,海狮05EV,智驾,纯电
31,海狮07EV,海洋网,31,海狮07 EV,非智驾,纯电
32,海狮07EV智驾版,海洋网,32,海狮07 EV 智驾,智驾,纯电
33,海狮06DM-i,海洋网,33,海狮06DM,智驾,混动
34,海狮05DM-i,海洋网,34,海狮05DM,非智驾,混动
35,海狮05DM-i智驾版,海洋网,35,海狮05DM 智驾,智驾,混动
36,海狮07DM-i智驾版,海洋网,36,海狮07DM 智驾,智驾,混动
37,海狮07DM-i,海洋网,37,海狮07DM 智驾,智驾,混动
38,海豚,海洋网,38,海豚,非智驾,纯电
39,2022款海豚,海洋网,39,海豚,非智驾,纯电
40,海豚2023,海洋网,40,海豚,非智驾,纯电
41,海豚荣耀版,海洋网,41,海豚,非智驾,纯电
42,2025款海豚,海洋网,42,海豚,非智驾,纯电
43,海豚智驾版,海洋网,43,海豚 智驾,智驾,纯电
44,护卫舰07,海洋网,44,护卫舰07,非智驾,混动
45,护卫舰07荣耀版,海洋网,45,护卫舰07,非智驾,混动
46,驱逐舰05,海洋网,46,驱逐舰05,非智驾,混动
47,驱逐舰05冠军版,海洋网,47,驱逐舰05,非智驾,混动
48,驱逐舰05荣耀版,海洋网,48,驱逐舰05,非智驾,混动
49,2022款驱逐舰05,海洋网,49,驱逐舰05,非智驾,混动
50,宋PLUS DM-i,海洋网,50,宋PLUS DM,非智驾,混动
51,宋PLUS DM-i冠军版,海洋网,51,宋PLUS DM,非智驾,混动
52,宋PLUS DM-i荣耀版,海洋网,52,宋PLUS DM,非智驾,混动
53,2025款宋PLUS DM-i,海洋网,53,宋PLUS DM,非智驾,混动
54,宋PLUS DM-i智驾版,海洋网,54,宋PLUS DM 智驾,智驾,混动
55,宋PLUS DM-i 智驾版,海洋网,55,宋PLUS DM 智驾,智驾,混动
56,宋PLUS EV,海洋网,56,宋PLUS EV,非智驾,纯电
57,宋PLUS EV冠军版,海洋网,57,宋PLUS EV,非智驾,纯电
58,宋PLUS EV荣耀版,海洋网,58,宋PLUS EV,非智驾,纯电
59,2025款宋PLUS EV,海洋网,59,宋PLUS EV,非智驾,纯电
60,宋PLUS EV智驾版,海洋网,60,宋PLUS EV 智驾,智驾,纯电
61,宋PLUS EV 智驾版,海洋网,61,宋PLUS EV 智驾,智驾,纯电
62,汉L,王朝网,62,汉L,智驾,纯电
63,汉L DM,王朝网,63,汉L DM,智驾,混动
64,汉L EV,王朝网,64,汉L EV,智驾,纯电
65,汉DM-i,王朝网,65,汉DM,非智驾,混动
66,汉DM-i冠军版,王朝网,66,汉DM,非智驾,混动
67,汉DM-i荣耀版,王朝网,67,汉DM,非智驾,混动
68,2025款汉DM-i,王朝网,68,汉DM,非智驾,混动
69,汉DM-i智驾版,王朝网,69,汉DM 智驾,智驾,混动
70,汉DM-p,王朝网,70,汉DM,非智驾,混动
71,汉DM-p荣耀版战神版,王朝网,71,汉DM,非智驾,混动
72,汉DM-p战神版,王朝网,72,汉DM,非智驾,混动
73,汉EV,王朝网,73,汉EV,非智驾,纯电
74,汉EV 创世版,王朝网,74,汉EV,非智驾,纯电
75,汉EV 千山翠限量版,王朝网,75,汉EV,非智驾,纯电
76,汉EV冠军版,王朝网,76,汉EV,非智驾,纯电
77,汉EV荣耀版,王朝网,77,汉EV,非智驾,纯电
78,2025款汉EV,王朝网,78,汉EV,非智驾,纯电
79,汉EV智驾版,王朝网,79,汉EV 智驾,智驾,纯电
80,秦L DM-i,王朝网,80,秦L DM,非智驾,混动
81,秦L DM-i智驾版,王朝网,81,秦L DM 智驾,智驾,混动
82,2026款秦L DM-i,王朝网,82,秦L DM 智驾,智驾,混动
83,秦L EV,王朝网,83,秦L EV,智驾,纯电
84,秦PLUS DM-i,王朝网,84,秦PLUS DM,非智驾,混动
85,秦PLUS DM-i荣耀版,王朝网,85,秦PLUS DM,非智驾,混动
86,2022款秦PLUS DM-i,王朝网,86,秦PLUS DM,非智驾,混动
87,第二代秦PLUS DM-i智驾版,王朝网,87,秦PLUS DM 智驾,智驾,混动
88,秦PLUS EV,王朝网,88,秦PLUS EV,非智驾,纯电
89,秦PLUS EV 2023冠军版,王朝网,89,秦PLUS EV,非智驾,纯电
90,秦PLUS EV荣耀版,王朝网,90,秦PLUS EV,非智驾,纯电
91,第二代秦PLUS EV智驾版,王朝网,91,秦PLUS EV 智驾,智驾,纯电
92,宋L,王朝网,92,宋L,非智驾,纯电
93,宋L DM-i,王朝网,93,宋L DM,非智驾,混动
94,宋L DM-i智驾版,王朝网,94,宋L DM 智驾,智驾,混动
95,2026款宋L DM-i,王朝网,95,宋L DM 智驾,智驾,混动
96,宋L EV,王朝网,96,宋L EV,非智驾,纯电
97,宋L EV智驾版,王朝网,97,宋L EV 智驾,智驾,纯电
98,宋MAX DM-i,王朝网,98,宋MAX DM,非智驾,混动
99,宋Pro DM-i,王朝网,99,宋Pro DM,非智驾,混动
100,宋Pro DM-i 冠军版,王朝网,100,宋Pro DM,非智驾,混动
101,宋Pro DM-i荣耀版,王朝网,101,宋Pro DM,非智驾,混动
102,第二代 宋ProDM-i,王朝网,102,宋Pro DM,非智驾,混动
103,第二代 宋Pro,王朝网,103,宋Pro DM,非智驾,燃油
104,宋Pro DM-i智驾版,王朝网,104,宋Pro DM 智驾,智驾,混动
105,2026款宋Pro DM-i,王朝网,105,宋Pro DM 智驾,智驾,混动
106,唐L DM,王朝网,106,唐L DM,智驾,混动
107,唐L EV,王朝网,107,唐L EV,智驾,纯电
108,唐L,王朝网,108,唐L,智驾,纯电
109,唐DMi,王朝网,109,唐DM,非智驾,混动
110,唐DM-i冠军版,王朝网,110,唐DM,非智驾,混动
111,唐DM-i荣耀版,王朝网,111,唐DM,非智驾,混动
112,2025款唐DM-i,王朝网,112,唐DM,非智驾,混动
113,唐DM-i智驾版,王朝网,113,唐DM 智驾,智驾,混动
114,唐DM-p冠军版,王朝网,114,唐DM,非智驾,混动
115,唐DM-p荣耀版战神版,王朝网,115,唐DM,非智驾,混动
116,唐DMI荣耀,王朝网,116,唐DM,非智驾,混动
117,全新一代唐DM-i,王朝网,117,唐DM,非智驾,混动
118,全新一代唐DM-p,王朝网,118,唐DM,非智驾,混动
119,唐EV,王朝网,119,唐EV,非智驾,纯电
120,唐EV冠军版,王朝网,120,唐EV,非智驾,纯电
121,唐EV荣耀版,王朝网,121,唐EV,非智驾,纯电
122,2022款唐EV,王朝网,122,唐EV,非智驾,纯电
123,元PLUS,王朝网,123,元PLUS,非智驾,纯电
124,元PLUS冠军版,王朝网,124,元PLUS,非智驾,纯电
125,元PLUS荣耀版,王朝网,125,元PLUS,非智驾,纯电
126,2022款元PLUS,王朝网,126,元PLUS,非智驾,纯电
127,第二代元PLUS智驾版,王朝网,127,元PLUS 智驾,智驾,纯电
128,元UP,王朝网,128,元UP,非智驾,纯电
129,元UP智驾版,王朝网,129,元UP 智驾,智驾,纯电
130,2023款元Pro,王朝网,130,元Pro,非智驾,纯电
131,夏,王朝网,131,夏,智驾,混动
132,2026款夏,王朝网,132,夏,智驾,混动
133,豹5,方程豹,133,豹5,智驾,混动
134,豹5智驾版,方程豹,134,豹5,智驾,混动
135,豹8,方程豹,135,豹8,智驾,混动
136,钛7,方程豹,136,钛7,智驾,混动
137,钛3,方程豹,137,钛3,智驾,混动
138,豹5长续航版,方程豹,138,豹5,智驾,混动
139,腾势Z9易三方纯电,腾势,139,腾势Z9 EV,智驾,纯电
140,腾势Z9易三方插混,腾势,140,腾势Z9 DM,智驾,混动
141,腾势Z9GT首发版,腾势,141,腾势Z9GT EV,智驾,混动
142,腾势Z9GT易三方插混,腾势,142,腾势Z9GT DM,智驾,混动
143,腾势Z9GT易三方纯电,腾势,143,腾势Z9GT EV,智驾,纯电
144,全新腾势N7,腾势,144,腾势N7,智驾,混动
145,25款腾势N7,腾势,145,腾势N7,智驾,混动
146,腾势D9创领版,腾势,146,腾势D9 DM,智驾,混动
147,腾势D9EV24款,腾势,147,腾势D9 EV,智驾,纯电
148,腾势D9EV25款,腾势,148,腾势D9 EV,智驾,混动
149,腾势D9 EV25款,腾势,149,腾势D9 EV,智驾,纯电
150,腾势D9DM-i24款,腾势,150,腾势D9 DM,智驾,混动
151,腾势D9DM-i25款,腾势,151,腾势D9 DM,智驾,混动
152,腾势N9易三方插混25款,腾势,152,腾势N9,智驾,混动
153,腾势N9易三方插混,腾势,153,腾势N9,智驾,混动
154,腾势N9易三方插混首发版,腾势,154,腾势N9,智驾,混动
155,腾势D9DM-i至尊版,腾势,155,腾势D9 DM,智驾,混动
156,腾势D9DM-i尊航版,腾势,156,腾势D9 DM,智驾,混动
157,腾势D9EV尊航版,腾势,157,腾势D9 EV,智驾,纯电
158,腾势N8L易三方插混,腾势,158,腾势N8L易三方插混,智驾,混动
159,2026款秦PLUS DM-i,王朝网,159,秦PLUS DM,非智驾,混动
