,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额.1,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
0,上元坤灵,2025,1,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
1,上元坤灵,2025,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
2,上元坤灵,2025,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
3,上元坤灵,2025,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
4,上元坤灵,2025,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
5,上元坤灵,2025,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
6,上元坤灵,2025,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
7,上元坤灵,2025,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
8,上元坤灵,2025,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
9,上元坤灵,2025,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
10,上元坤灵,2025,11,,32,,0,0,0,25,0,1,0,0,4800,,,,,-4800,12800,-17600,,33076,1033.625
11,上元坤灵,2025,12,,82,,1,0,0,58,0,5,0,0,12150,,,,,-12150,32400,-44550,,115850.01,1430.24703703704
12,合计,,,0,114,,1,0,0,83,0,6,0,0,16950,0,0,0,0,-16950,45200,-62150,,148926.01,1317.9292920354
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
15,上元臻智,2025,1,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
16,上元臻智,2025,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
17,上元臻智,2025,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
18,上元臻智,2025,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
19,上元臻智,2025,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
20,上元臻智,2025,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
21,上元臻智,2025,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
22,上元臻智,2025,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
23,上元臻智,2025,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
24,上元臻智,2025,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
25,上元臻智,2025,11,,27,,0,0,0,16,0,8,0,0,4050,,,,,-4050,10800,-14850,,65700,2433.33333333333
26,上元臻智,2025,12,,34,,1,0,0,23,0,18,0,0,4950,,,,,-4950,13200,-18150,,106148,3216.60606060606
27,合计,,,0,61,,1,0,0,39,0,26,0,0,9000,0,0,0,0,-9000,24000,-33000,,171848,2864.13333333333
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
30,上元弘川,2025,1,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
31,上元弘川,2025,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
32,上元弘川,2025,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
33,上元弘川,2025,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
34,上元弘川,2025,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
35,上元弘川,2025,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
36,上元弘川,2025,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
37,上元弘川,2025,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
38,上元弘川,2025,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
39,上元弘川,2025,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
40,上元弘川,2025,11,,55,,0,0,0,39,0,3,0,0,8250,,,,,-8250,22000,-30250,,59726,1085.92727272727
41,上元弘川,2025,12,,107,,0,0,0,69,0,8,0,0,16050,,,,,-16050,42800,-58850,,130162.6,1216.47289719626
42,合计,,,0,162,,0,0,0,108,0,11,0,0,24300,0,0,0,0,-24300,64800,-89100,,189888.6,1172.15185185185
43,,,,,,,,,,,,,,,,,,,,,,,,,
44,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
45,上元臻盛,2025,1,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
46,上元臻盛,2025,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
47,上元臻盛,2025,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
48,上元臻盛,2025,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
49,上元臻盛,2025,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
50,上元臻盛,2025,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
51,上元臻盛,2025,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
52,上元臻盛,2025,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
53,上元臻盛,2025,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
54,上元臻盛,2025,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
55,上元臻盛,2025,11,,19,,0,0,0,14,0,5,0,0,2850,,,,,-2850,7600,-10450,,47977,2525.10526315789
56,上元臻盛,2025,12,,37,,0,0,0,28,0,9,0,0,5550,,,,,-5550,14800,-20350,,96588,2610.48648648649
57,合计,,,0,56,,0,0,0,42,0,14,0,0,8400,0,0,0,0,-8400,22400,-30800,,144565,2581.51785714286
58,,,,,,,,,,,,,,,,,,,,,,,,,
59,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
60,上元星汉,2025,1,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
61,上元星汉,2025,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
62,上元星汉,2025,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
63,上元星汉,2025,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
64,上元星汉,2025,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
65,上元星汉,2025,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
66,上元星汉,2025,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
67,上元星汉,2025,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
68,上元星汉,2025,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
69,上元星汉,2025,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
70,上元星汉,2025,11,,17,,0,0,0,15,0,1,0,0,2550,,,,,-2550,6800,-9350,,22138,1302.23529411765
71,上元星汉,2025,12,,39,,0,0,0,27,0,1,0,0,5850,,,,,-5850,15600,-21450,,51298.5,1315.34615384615
72,合计,,,0,56,,0,0,0,42,0,2,0,0,8400,0,0,0,0,-8400,22400,-30800,,73436.5,1311.36607142857
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,2026年,,,,,,,,,,,,,,,,,,,,,,,,
75,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
76,上元坤灵,2026,1,,46,,0,0,0,46,0,9,0,0,6900,,,,,-6900,18400,-25300,,0,0
77,上元坤灵,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
78,上元坤灵,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
79,上元坤灵,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
80,上元坤灵,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
81,上元坤灵,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
82,上元坤灵,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
83,上元坤灵,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
84,上元坤灵,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
85,上元坤灵,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
86,上元坤灵,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,33076,
87,上元坤灵,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,115850.01,
88,合计,,,0,46,,0,0,0,46,0,9,0,0,6900,0,0,0,0,-6900,18400,-25300,,148926.01,3237.52195652174
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
91,上元臻智,2026,1,,24,,0,0,0,17,0,14,0,0,3600,,,,,-3600,9600,-13200,,0,0
92,上元臻智,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
93,上元臻智,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
94,上元臻智,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
95,上元臻智,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
96,上元臻智,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
97,上元臻智,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
98,上元臻智,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
99,上元臻智,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
100,上元臻智,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
101,上元臻智,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,65700,
102,上元臻智,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,106148,
103,合计,,,0,24,,0,0,0,17,0,14,0,0,3600,0,0,0,0,-3600,9600,-13200,,171848,7160.33333333333
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
106,上元弘川,2026,1,,61,,0,0,0,59,0,8,0,0,9150,,,,,-9150,24400,-33550,,0,0
107,上元弘川,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
108,上元弘川,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
109,上元弘川,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
110,上元弘川,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
111,上元弘川,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
112,上元弘川,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
113,上元弘川,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
114,上元弘川,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
115,上元弘川,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
116,上元弘川,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,59726,
117,上元弘川,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,130162.6,
118,合计,,,0,61,,0,0,0,59,0,8,0,0,9150,0,0,0,0,-9150,24400,-33550,,189888.6,3112.92786885246
119,,,,,,,,,,,,,,,,,,,,,,,,,
120,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
121,上元臻盛,2026,1,,29,,0,0,0,25,0,13,0,0,4350,,,,,-4350,11600,-15950,,0,0
122,上元臻盛,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
