,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额.1,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
123,上元臻盛,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
124,上元臻盛,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
125,上元臻盛,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
126,上元臻盛,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
127,上元臻盛,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
128,上元臻盛,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
129,上元臻盛,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
130,上元臻盛,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
131,上元臻盛,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,47977,
132,上元臻盛,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,96588,
133,合计,,,0,29,,0,0,0,25,0,13,0,0,4350,0,0,0,0,-4350,11600,-15950,,144565,4985
134,,,,,,,,,,,,,,,,,,,,,,,,,
135,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
136,上元星汉,2026,1,,24,,0,0,0,24,0,3,0,0,3600,,,,,-3600,9600,-13200,,0,0
137,上元星汉,2026,2,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
138,上元星汉,2026,3,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
139,上元星汉,2026,4,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
140,上元星汉,2026,5,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
141,上元星汉,2026,6,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
142,上元星汉,2026,7,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
143,上元星汉,2026,8,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
144,上元星汉,2026,9,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
145,上元星汉,2026,10,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,0,
146,上元星汉,2026,11,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,22138,
147,上元星汉,2026,12,,0,,0,0,,0,0,0,0,0,0,,,,,0,0,0,,51298.5,
148,合计,,,0,24,,0,0,0,24,0,3,0,0,3600,0,0,0,0,-3600,9600,-13200,,73436.5,3059.85416666667
149,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,,250,,,,,
0,文景海洋,2025,1,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
1,文景海洋,2025,2,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
2,文景海洋,2025,3,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
3,文景海洋,2025,4,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
4,文景海洋,2025,5,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
5,文景海洋,2025,6,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
6,文景海洋,2025,7,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
7,文景海洋,2025,8,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
8,文景海洋,2025,9,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
9,文景海洋,2025,10,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
10,文景海洋,2025,11,,36,,0,,,14,,1,625,,18780,12600,555,2136,,,14400,,,25909,719.694444444444
11,文景海洋,2025,12,,79,,7,,,22,,2,3243,,10800,,,,,,28800,,,34305,476.458333333333
12,合计,,,0,115,,7,,,36,,3,3868,,29580,12600,555,2136,0,,43200,,,60214,557.537037037037
13,,,,,,,,,,,,,,,,,,,,,,,,,
14,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
15,文景盛世,2025,1,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
16,文景盛世,2025,2,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
17,文景盛世,2025,3,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
18,文景盛世,2025,4,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
19,文景盛世,2025,5,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
20,文景盛世,2025,6,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
21,文景盛世,2025,7,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
22,文景盛世,2025,8,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
23,文景盛世,2025,9,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
24,文景盛世,2025,10,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
25,文景盛世,2025,11,,19,,1,,,9,,0,0,,12520,8400,285,1424,,,7200,,,16177,898.722222222222
26,文景盛世,2025,12,,47,,1,,,20,,0,0,,6900,,,,,,18400,,,26604,578.347826086957
27,合计,,,0,66,,2,,,29,,0,0,,19420,8400,285,1424,0,,25600,,,42781,668.453125
28,,,,,,,,,,,,,,,,,,,,,,,,,
29,2026年,,,,,,,,,,,,,,,,,,,,,,,,
30,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
31,文景海洋,2026,1,,38,,1,,,19,,3,4400,,5550,,,,,,14800,,,0,0
32,文景海洋,2026,2,,6,,2,,,1,,0,0,,600,,,,,,1600,,,0,0
33,文景海洋,2026,3,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
34,文景海洋,2026,4,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
35,文景海洋,2026,5,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
36,文景海洋,2026,6,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
37,文景海洋,2026,7,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
38,文景海洋,2026,8,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
39,文景海洋,2026,9,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
40,文景海洋,2026,10,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
41,文景海洋,2026,11,,0,,0,,,0,,0,0,,0,,,,,,0,,,25909,
42,文景海洋,2026,12,,0,,0,,,0,,0,0,,0,,,,,,0,,,34305,
43,合计,,,0,44,,3,,,20,,3,4400,,6150,0,0,0,0,,16400,,,60214,1468.63414634146
44,,,,,,,,,,,,,,,,,,,,,,,,,
45,新车销售店名,年份,月份,交车量,到店量,到店率,无效台次,升级量,升级率,膜升级台数,毛利润金额,其他项目升级台数,毛利润金额,毛利润合计金额,人员成本,场地租金水电,洗车费,耗材采购,维修费用,当月利润,假设三方返利保底金额,自店与三方利润差额,单车利润,合计收款金额,客单价
46,文景盛世,2026,1,,19,,1,,,8,,2,1000,,2700,,,,,,7200,,,0,0
47,文景盛世,2026,2,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
48,文景盛世,2026,3,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
49,文景盛世,2026,4,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
50,文景盛世,2026,5,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
51,文景盛世,2026,6,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
52,文景盛世,2026,7,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
53,文景盛世,2026,8,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
54,文景盛世,2026,9,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
55,文景盛世,2026,10,,0,,0,,,0,,0,0,,0,,,,,,0,,,0,
56,文景盛世,2026,11,,0,,0,,,0,,0,0,,0,,,,,,0,,,16177,
57,文景盛世,2026,12,,0,,0,,,0,,0,0,,0,,,,,,0,,,26604,
58,合计,,,0,19,,1,,,8,,2,1000,,2700,0,0,0,0,,7200,,,42781,2376.72222222222
59,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,,250,,,,,
